AFP_1/encode	AFP
Dmbx1/MA0883.1/Jaspar	ESX1
Dmbx1/MA0883.1/Jaspar	ISX
Dmbx1/MA0883.1/Jaspar	PHOX2A
Dmbx1/MA0883.1/Jaspar	PHOX2B
Dmbx1/MA0883.1/Jaspar	PITX1
Dmbx1/MA0883.1/Jaspar	PITX2
Dmbx1/MA0883.1/Jaspar	PITX3
Dmbx1/MA0883.1/Jaspar	PRRX1
Dmbx1/MA0883.1/Jaspar	PRRX2
Dmbx1/MA0883.1/Jaspar	RAX
Dmbx1/MA0883.1/Jaspar	SHOX2
Dmbx1/MA0883.1/Jaspar	UNCX
Dmbx1/MA0883.1/Jaspar	VSX1
Dmbx1/MA0883.1/Jaspar	VSX2
E-box(bHLH)/Promoter/Homer	ARNTL
E-box(bHLH)/Promoter/Homer	ARNTL2
E-box(bHLH)/Promoter/Homer	ATF3
E-box(bHLH)/Promoter/Homer	BHLHE40
E-box(bHLH)/Promoter/Homer	BHLHE41
E-box(bHLH)/Promoter/Homer	CLOCK
E-box(bHLH)/Promoter/Homer	JDP2
E-box(bHLH)/Promoter/Homer	MITF
E-box(bHLH)/Promoter/Homer	MYC
E-box(bHLH)/Promoter/Homer	MYCN
E-box(bHLH)/Promoter/Homer	MYF5
E-box(bHLH)/Promoter/Homer	MYF6
E-box(bHLH)/Promoter/Homer	MYOD1
E-box(bHLH)/Promoter/Homer	MYOG
E-box(bHLH)/Promoter/Homer	NFE2
E-box(bHLH)/Promoter/Homer	NFE2L2
E-box(bHLH)/Promoter/Homer	NPAS2
E-box(bHLH)/Promoter/Homer	SIRT6
E-box(bHLH)/Promoter/Homer	SREBF1
E-box(bHLH)/Promoter/Homer	SREBF2
E-box(bHLH)/Promoter/Homer	TCF12
E-box(bHLH)/Promoter/Homer	TCF3
E-box(bHLH)/Promoter/Homer	TCF4
E-box(bHLH)/Promoter/Homer	TFE3
E-box(bHLH)/Promoter/Homer	TFEB
E-box(bHLH)/Promoter/Homer	TFEC
E2A(bHLH),near_PU.1/Bcell-PU.1-ChIP-Seq(GSE21512)/Homer	FIGLA
E2A(bHLH),near_PU.1/Bcell-PU.1-ChIP-Seq(GSE21512)/Homer	ID1
E2A(bHLH),near_PU.1/Bcell-PU.1-ChIP-Seq(GSE21512)/Homer	ID2
E2A(bHLH),near_PU.1/Bcell-PU.1-ChIP-Seq(GSE21512)/Homer	ID4
E2A(bHLH),near_PU.1/Bcell-PU.1-ChIP-Seq(GSE21512)/Homer	LMO2
E2A(bHLH),near_PU.1/Bcell-PU.1-ChIP-Seq(GSE21512)/Homer	MESP1
E2A(bHLH),near_PU.1/Bcell-PU.1-ChIP-Seq(GSE21512)/Homer	MYF5
E2A(bHLH),near_PU.1/Bcell-PU.1-ChIP-Seq(GSE21512)/Homer	MYF6
E2A(bHLH),near_PU.1/Bcell-PU.1-ChIP-Seq(GSE21512)/Homer	MYOD1
E2A(bHLH),near_PU.1/Bcell-PU.1-ChIP-Seq(GSE21512)/Homer	MYOG
