AFP_1/encode	Afp
CTCF_disc10/encode	Ctcf
CTCF_disc2/encode	Ctcf
CTCF_disc3/encode	Ctcf
CTCF_disc4/encode	Ctcf
CTCF_disc5/encode	Ctcf
CTCF_disc6/encode	Ctcf
CTCF_disc7/encode	Ctcf
CTCF_disc8/encode	Ctcf
CTCF_disc9/encode	Ctcf
CTCF_known2/encode	Ctcf
CUX1_1/encode	Cux1
CUX1_2/encode	Cux1
CUX1_3/encode	Cux1
CUX1_4/encode	Cux1
CUX1_8/encode	Cux1
CUX1_9/encode	Cux1
CUX1_9/encode	Cux2
CUX1_FOXI1_1/taiple	Cux1
CUX1_FOXI1_1/taiple	Foxi1
CUX1_FOXI1_1/taiple	Foxl2
CUX1_FOXI1_1/taiple	Foxo1
CUX1_FOXI1_1/taiple	Foxo3
CUX1_FOXI1_1/taiple	Foxo4
CUX1_FOXI1_1/taiple	Foxo6
CUX1_HOXA13_1/taiple	Cux1
CUX1_HOXA13_1/taiple	Hoxa13
CUX1_HOXA13_1/taiple	Hoxb13
CUX1_HOXA13_1/taiple	Hoxc13
CUX1_HOXA13_1/taiple	Hoxd13
CUX1_HOXA13_2/taiple	Cux1
CUX1_HOXA13_2/taiple	Hoxa13
CUX1_HOXA13_2/taiple	Hoxb13
CUX1_HOXA13_2/taiple	Hoxc13
CUX1_HOXA13_2/taiple	Hoxd13
CUX1_HOXA13_2/taiple	Onecut1
CUX1_HOXA13_2/taiple	Onecut2
CUX1_HOXA13_2/taiple	Onecut3
CUX1_NHLH1_1/taiple	Cux1
CUX1_NHLH1_1/taiple	Nhlh1
CUX1_NHLH1_2/taiple	Cux1
CUX1_NHLH1_2/taiple	Nhlh1
CUX1_PITX1_1/taiple	Alx1
CUX1_PITX1_1/taiple	Alx3
CUX1_PITX1_1/taiple	Alx4
CUX1_PITX1_1/taiple	Arx
CUX1_PITX1_1/taiple	Cux1
CUX1_PITX1_1/taiple	Dmbx1
CUX1_PITX1_1/taiple	Esx1
CUX1_PITX1_1/taiple	Isx
CUX1_PITX1_1/taiple	Phox2a
CUX1_PITX1_1/taiple	Phox2b
CUX1_PITX1_1/taiple	Pitx1
CUX1_PITX1_1/taiple	Pitx2
CUX1_PITX1_1/taiple	Pitx3
CUX1_PITX1_1/taiple	Prrx1
CUX1_PITX1_1/taiple	Prrx2
CUX1_PITX1_1/taiple	Rax
CUX1_PITX1_1/taiple	Shox2
CUX1_PITX1_1/taiple	Uncx
CUX1_PITX1_1/taiple	Vsx1
CUX1_PITX1_1/taiple	Vsx2
CUX1_RFX5_1/taiple	Cux1
CUX1_RFX5_1/taiple	Rfx5
CUX1_RFX5_1/taiple	Rfx7
CUX1_RFX5_2/taiple	Cux1
CUX1_RFX5_2/taiple	Rfx5
CUX1_RFX5_2/taiple	Rfx7
CUX1_SOX15_1/taiple	Cux1
CUX1_SOX15_1/taiple	Sox1
CUX1_SOX15_1/taiple	Sox14
CUX1_SOX15_1/taiple	Sox15
CUX1_SOX15_1/taiple	Sox2
CUX1_SOX15_1/taiple	Sox21
CUX1_SOX15_1/taiple	Sox3
CUX1_SOX15_1/taiple	Sry
CUX1_SOX15_2/taiple	Cux1
CUX1_SOX15_2/taiple	Sox1
CUX1_SOX15_2/taiple	Sox14
CUX1_SOX15_2/taiple	Sox15
CUX1_SOX15_2/taiple	Sox2
CUX1_SOX15_2/taiple	Sox21
CUX1_SOX15_2/taiple	Sox3
CUX1_SOX15_2/taiple	Sry
CUX1_SOX15_3/taiple	Cux1
CUX1_SOX15_3/taiple	Sox1
CUX1_SOX15_3/taiple	Sox14
CUX1_SOX15_3/taiple	Sox15
CUX1_SOX15_3/taiple	Sox2
CUX1_SOX15_3/taiple	Sox21
CUX1_SOX15_3/taiple	Sox3
CUX1_SOX15_3/taiple	Sry
CUX1_SRF_1/taiple	Cux1
CUX1_SRF_1/taiple	Srf
CUX1_TBX21_1/taiple	Cux1
CUX1_TBX21_1/taiple	Eomes
CUX1_TBX21_1/taiple	Tbr1
CUX1_TBX21_1/taiple	Tbx21
CUX1_TBX21_2/taiple	Cux1
CUX1_TBX21_2/taiple	Eomes
CUX1_TBX21_2/taiple	Tbr1
CUX1_TBX21_2/taiple	Tbx21
CUX1_TBX3_1/taiple	Cux1
CUX1_TBX3_1/taiple	Tbx2
CUX1_TBX3_1/taiple	Tbx3
CUX1_TBX3_1/taiple	Tbx4
CUX1_TBX3_1/taiple	Tbx5
Crx/MA0467.1/Jaspar	Crx
Cux2(Homeobox)/Liver-Cux2-ChIP-Seq(GSE35985)/Homer	Cux2
DBP_1/encode	Dbp
DBP_1/encode	Hlf
DBP_1/encode	Tef
DMRT1(DM)/Testis-DMRT1-ChIP-Seq(GSE64892)/Homer	Dmrt1
DMRT2_1/encode	Dmrt2
DMRT2_1/encode	Dmrt3
DMRT2_1/encode	Dmrta1
DMRT2_1/encode	Dmrtc2
DMRT3/MA0610.1/Jaspar	Dmrt3
DMRTA2_1/encode	Dmrta2
DMRTC2_1/encode	Dmrt2
DMRTC2_1/encode	Dmrtc2
Ddit3::Cebpa/MA0019.1/Jaspar	Cebpa
Ddit3::Cebpa/MA0019.1/Jaspar	Cebpb
Ddit3::Cebpa/MA0019.1/Jaspar	Cebpd
Ddit3::Cebpa/MA0019.1/Jaspar	Cebpe
Ddit3::Cebpa/MA0019.1/Jaspar	Ddit3
Dmbx1/MA0883.1/Jaspar	Alx1
Dmbx1/MA0883.1/Jaspar	Alx3
Dmbx1/MA0883.1/Jaspar	Alx4
Dmbx1/MA0883.1/Jaspar	Arx
Dmbx1/MA0883.1/Jaspar	Dmbx1
Dmbx1/MA0883.1/Jaspar	Esx1
Dmbx1/MA0883.1/Jaspar	Isx
Dmbx1/MA0883.1/Jaspar	Phox2a
Dmbx1/MA0883.1/Jaspar	Phox2b
Dmbx1/MA0883.1/Jaspar	Pitx1
Dmbx1/MA0883.1/Jaspar	Pitx2
Dmbx1/MA0883.1/Jaspar	Pitx3
Dmbx1/MA0883.1/Jaspar	Prrx1
Dmbx1/MA0883.1/Jaspar	Prrx2
Dmbx1/MA0883.1/Jaspar	Rax
Dmbx1/MA0883.1/Jaspar	Shox2
Dmbx1/MA0883.1/Jaspar	Uncx
Dmbx1/MA0883.1/Jaspar	Vsx1
Dmbx1/MA0883.1/Jaspar	Vsx2
E-box(bHLH)/Promoter/Homer	Arntl
E-box(bHLH)/Promoter/Homer	Arntl2
E-box(bHLH)/Promoter/Homer	Atf3
E-box(bHLH)/Promoter/Homer	Bhlhe40
E-box(bHLH)/Promoter/Homer	Bhlhe41
E-box(bHLH)/Promoter/Homer	Clock
E-box(bHLH)/Promoter/Homer	Jdp2
E-box(bHLH)/Promoter/Homer	Mitf
E-box(bHLH)/Promoter/Homer	Myc
E-box(bHLH)/Promoter/Homer	Mycn
E-box(bHLH)/Promoter/Homer	Myf5
E-box(bHLH)/Promoter/Homer	Myf6
E-box(bHLH)/Promoter/Homer	Myod1
E-box(bHLH)/Promoter/Homer	Myog
E-box(bHLH)/Promoter/Homer	Nfe2
E-box(bHLH)/Promoter/Homer	Nfe2l2
E-box(bHLH)/Promoter/Homer	Npas2
E-box(bHLH)/Promoter/Homer	Sirt6
E-box(bHLH)/Promoter/Homer	Srebf1
E-box(bHLH)/Promoter/Homer	Srebf2
E-box(bHLH)/Promoter/Homer	Tcf12
E-box(bHLH)/Promoter/Homer	Tcf3
E-box(bHLH)/Promoter/Homer	Tcf4
E-box(bHLH)/Promoter/Homer	Tfe3
E-box(bHLH)/Promoter/Homer	Tfeb
E-box(bHLH)/Promoter/Homer	Tfec
E2A(bHLH),near_PU.1/Bcell-PU.1-ChIP-Seq(GSE21512)/Homer	Figla
E2A(bHLH),near_PU.1/Bcell-PU.1-ChIP-Seq(GSE21512)/Homer	Id1
E2A(bHLH),near_PU.1/Bcell-PU.1-ChIP-Seq(GSE21512)/Homer	Id2
E2A(bHLH),near_PU.1/Bcell-PU.1-ChIP-Seq(GSE21512)/Homer	Id4
E2A(bHLH),near_PU.1/Bcell-PU.1-ChIP-Seq(GSE21512)/Homer	Lmo2
E2A(bHLH),near_PU.1/Bcell-PU.1-ChIP-Seq(GSE21512)/Homer	Mesp1
E2A(bHLH),near_PU.1/Bcell-PU.1-ChIP-Seq(GSE21512)/Homer	Myf5
E2A(bHLH),near_PU.1/Bcell-PU.1-ChIP-Seq(GSE21512)/Homer	Myf6
